Post,Company,Experience,Level,Salary,Deadline
Manager,Euro Multipurpose Co-operative,More than 6 years,Senior Level,Not Disclosed,2026-01-13
Team Leader,DT Global International Development UK,More than 10 years,Top Level,Not Disclosed,2026-01-13
Sales Executive,Aircon Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-13
Hostel Warden / Matron,DAV Sushil Kedia Vishwa Bharati School,More than 3 years,Mid Level,Not Disclosed,2026-01-14
Digital Marketing Executive,E-Spot Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-14
IT Officer (AI Video & Image Creator),E-Spot Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-14
IT Officer (AI Web & App Developer),E-Spot Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-14
Cinematographer,E-Spot Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-14
HR Officer – Performance Management and Analytics,E-Spot Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-14
Customer Service Representative,Goreto Educational Consultancy,More than 1 year,Mid Level,Not Disclosed,2026-01-14
Counselor (UK),Goreto Educational Consultancy,More than 1 year,Mid Level,Not Disclosed,2026-01-14
IELTS / PTE Instructor,Goreto Educational Consultancy,More than 1 year,Mid Level,Not Disclosed,2026-01-14
UK Counselor,Real Dreams Education Consultancy Center,More than 1 year,Mid Level,Not Disclosed,2026-01-14
Australia Counselor,Real Dreams Education Consultancy Center,More than 1 year,Mid Level,Not Disclosed,2026-01-14
Digital Marketing Executive,Real Dreams Education Consultancy Center,More than 1 year,Mid Level,Not Disclosed,2026-01-14
Assistant to the Asia Council Chair,Kindernothilfe (KNH),More than 2 years,Mid Level,Not Disclosed,2026-01-15
National Sales Coordinator (Mobile Phone),ZTE Nepal,More than 5 years,Senior Level,Not Disclosed,2026-01-15
Junior Marketing Officer,Alfa Beta Institute,Less than 1 year,Entry Level,Not Disclosed,2026-01-15
Counselor (Australia),Goreto Educational Consultancy,More than 1 year,Mid Level,Not Disclosed,2026-01-15
Digital Marketing Specialist,Executive Search- Merojob,More than 3 years,Mid Level,"NRs. 60,000 - 70,000 Monthly",2026-01-15
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,More than 5 years,Senior Level,Not Disclosed,2026-01-15
Teacher,ASK Enlightenment,More than 1 year,Mid Level,"NRs. 50,000 Monthly",2026-01-16
Outbound Tour Manager,Bling Holidays Travels and Tours,More than 2 years,Mid Level,Not Disclosed,2026-01-16
Telemarketing Representative,Centrix,More than 1 year,Mid Level,Not Disclosed,2026-01-17
Marketing Manager,Ghothane Lawyers,More than 3 years,Mid Level,Not Disclosed,2026-01-17
Administrative / Paralegal Officer,Ghothane Lawyers,More than 2 years,Mid Level,Not Disclosed,2026-01-17
A- Levels Computer Teacher,Kathmandu World School,More than 3 years,Mid Level,Not Disclosed,2026-01-17
Sales Account Manager,Felt and Yarn,More than 1 year,Mid Level,"NRs. 30,000 Monthly",2026-01-17
Grade Teacher - PG - UKG,EuroKids International,More than 1 year,Mid Level,Not Disclosed,2026-01-17
Networking Officer (IT Infrastructure and Systems),E-Spot Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-17
General Manager – Hospitality Operations,E-Spot Club,More than 7 years,Senior Level,Not Disclosed,2026-01-17
Manager,Hot Stone,More than 3 years,Mid Level,Not Disclosed,2026-01-17
QA Engineer (Automation and Manual),Hot Stone,More than 5 years,Senior Level,Not Disclosed,2026-01-17
App Developer,Hot Stone,More than 5 years,Senior Level,Not Disclosed,2026-01-17
Digital Marketing Manager,Hot Stone,More than 2 years,Mid Level,Not Disclosed,2026-01-17
Email Marketing Assistant,Hot Stone,More than 2 years,Mid Level,Not Disclosed,2026-01-17
Social Media Handler,Discovery World Trekking,More than 2 years,Mid Level,Not Disclosed,2026-01-17
Mechanical Overseer / Engineer,Gabion Wiretech,More than 2 years,Mid Level,"NRs. 300,000 - 500,000 Yearly",2026-01-18
